"ID","Startzeit","Fertigstellungszeit","E.Mail","Name","Language","Zeitpunkt.der.letzten..nderung","Was.ist.Ihr.h.chster.Bildungsabschluss.","Welcher.Alterskategorie.geh.ren.Sie.an.","Ich.nutze.innerhalb.meines.Bekanntenkreis.oft.als.erste.Person.neue.technische.oder.digitale.Produkte.","Ich.informiere.mich.regelm..ig..ber.neueste.Entwicklungen.im.Software..und.Hardwarebereich.","Ich.bin.in.einem.IT.Berufsfeld.t.tig.","Ich.habe.bereits.Large.Language.Models.eingesetzt..wie.z.B..Chat.GPT.","Ich.habe.ein.generelles.Wissen..ber.die.Funktionsweise.von.KI.Modellen.","Ich.kenne.mich.insbesondere.mit.der.Funktionsweise.von.Generative.AI.aus.","Ich.glaube.nicht..dass.bei.dem.Gespr.ch..ber.mein.Problem.mit.der.Internetgeschwindigkeit.private.Daten.von.mir.freigegeben.werden.","Mir.ist.am.wichtigsten..dass.das.Problem.m.glichst.schnell.behoben.wird..wichtiger.als.der.Schutz.meiner.Privatsph.re.","Eine.strenge.Anmeldekontrolle.beim.IT.Support.zum.Schutz.meiner.Privatsph.re.w.rde.mich.st.ren.","Im.Folgenden.werden.Ihnen.verschiedene.virtuelle.Assistenten.vorgestellt..bitte.w.hen.Sie.welcher.Ihnen.am.meisten.zusagt.","Der.virtuelle.Assistent.zeichnet.Ihr.Gespr.ch.auf..um.Ihre.Aussagen.verarbeiten.und.beantworten.zu.k.nnen..Doch.zu.welchem.Zeitpunkt.soll.er.diese.Aufzeichnungen.wieder..vergessen..","Ich.sehe.meine.Privatsph.re.nur.dann.gef.hrdet..wenn.ein.Mensch.meine.aufgezeichneten.Daten.mitliest.","Das.ist.mir.bekannt.","Ich.habe.wenig.Bedenken.dar.ber..wenn.die.Daten.in.einem.Archiv.lediglich.gelagert.werden.","Ich.habe.wenig.Bedenken.dar.ber..dass.die.Daten.in.ein.Archiv.gelangen..das.von.einer.KI.ausgelesen.wird.","Wir.nehmen.an..das.Unternehmen.speichert.ihre.Gespr.chsverl.ufe..Ordnen.Sie.im.Folgenden.wie.und.wo.die.Daten.gespeichert.werden.sollen.","In.welchen.Situationen.wollen.Sie.vor.dem.Gespr.ch.dar.ber.informiert.werden..dass.ein.virtueller.Assistent.bei.der.Beratung..per.Telefon.oder.Chat..eingesetzt.wird...Mehrfachauswahl.m.glich.","In.welcher.Regelm..igkeit.m.chten.sie..ber.den.Einsatz.von.Virtuellen.Assistenten.im.IT.Support.informiert.werden.","Generell.bin.ich.bereit..meine.Daten.f.r.Trainingszwecke.zur.Verf.gung.zu.stellen.","In.welcher.Regelm..igkeit.m.chten.sie..ber.das.Sammeln.von.Trainingsdaten.informiert.werden.","Ich.m.chte.nicht..dass.die.Archivdaten..falls.meine.Daten.darin.vorhanden.sind..an.eine.KI.f.r.Trainingszwecke.weitergegeben.werden.","Generell.halte.ich.es.aber.f.r.sinnvoll.wenn.das.Unternehmen.ein.Archiv.mit.abgeschlossenen.F.llen.verwendet.","Das.Telekommunikationsunternehmen.erschafft.den.virtuellen.Assistenten.basierend.auf.dem.eigenen.Datensatz.und.mit.eigenen.Entwicklerteams.","Das.Telekommunikationsunternehmen.kauft.einen.etablierten.KI.Assistenten.von.einem.Spezialisten.Unternehmen..z.B..ChatGPT.von.OpenAI..ein..Es.ist.nicht.nachvollziehbar..wie.und.basierend.auf.welch...","Das.Telekommunikationsunternehmen.lagert.die.vollst.ndige.Entwicklung.aus..Es.ist.davon.auszugehen..dass.der.Drittanbieter.auch.auf.bestehende.Modelle.zur.ckgreift..Das.Telekommunikationsunternehm...","Ich.m.chte.nicht..dass.ein.virtueller.Assistent.dar.ber.urteilt..an.welchen.Mitarbeiter.mein.Problem.weitergeleitet.wird.","Ich.denke.f.r.meine.Zwecke.sind.die.Ergebnisse.des.virtuellen.Assistenten.v.llig.ausreichend.","Ich.vertraue.den.Ergebnissen.eines.virtuellen.Assistenten.","Ich.vertraue.den.Ergebnissen.eines.virtuellen.Assistenten.mehr.als.denen.eines.Menschen.","Wenn.der.virtuelle.Assistent.zu.seinem.L.sungsvorschlag.zus.tzlich.eine.Begr.ndung.oder.Argumentation.ausgibt..vertraue.ich.seinem.Ergebnis.eher.","Wenn.die.Firma.transparent.darstellt..auf.welcher.Datengrundlage.der.virtuelle.Assistent.trainiert.wurde.vertraue.ich.dem.virtuellen.Assistenten.mehr.","Einen.Techniker..der.sich.vor.Ort.um.mein.Problem.k.mmert..halte.ich.f.r.unprofessionell.wenn.ich.merke..dass.er.auf.seinem.Smartphone.einen.virtuellen.Assistenten.einsetzt.","Ich.kommuniziere.ausschlie.lich.mit.einem.menschlichen.Mitarbeiter.","Ich.telefoniere.mit.einem.menschlichen.Mitarbeiter..Dieser.nutzt.den.Assistenten.optional..indem.er.mit.diesem.per.Chat.kommuniziert.","Ich.telefoniere.mit.einem.Menschen..der.virtuelle.Assistent.h.rt.das.Gespr.ch.mit.und.schl.gt.dem.Mitarbeiter.mehrere.Ergebnisse.vor..Der.Mitarbeiter.w.hlt.das.am.besten.Passende.nach.Gef.hl.Erfah...","Ich.telefoniere.mit.einem.virtuellen.Assistenten..dieser.erarbeitet.die.L.sung.weitgehend.selbstst.ndig..ein.Mensch.wird.lediglich.zur.abschlie.enden.Kontrolle.des.L.sungsvorschlags.eingesetzt.","Ich.telefoniere.direkt.mit.einem.virtuellen.Assistenten.und.er.gibt.mir.selbstst.ndig.L.sungsvorschl.ge.","Ich.chatte.direkt.mit.einem.virtuellen.Assistenten.und.dieser.gibt.mir.selbstst.ndig.L.sungsvorschl.ge.","In.diesen.Aufgaben.vertraue.ich.virtuellen.Assistenten..Mehrfache.Auswahl.m.glich.","Ich.habe.au.erdem.folgende.Bedenken.bei.Virtuellen.Assistenten.im.IT.Support","In.dieser.Sprache.habe.ich.den.Umfragebogen.bearbeitet.","openess.towards.new.technologies","preknowledge.about.ai","combined_openess","agree_to_share_data","summary_of_h1","score_h1","agree_to_data_collection","prefer_in_house_inverted","summary_of_h2","score_h2","score_h3","score_h4","score_h5","score_h6","distrust_in_common_solution","summary_of_h7","score_h7","summary_of_h1_percentile","summary_of_h2_percentile","summary_of_h3_percentile","summary_of_h4_percentile","summary_of_h5_percentile","summary_of_h6_percentile","summary_of_h7_percentile"
"14","4.22.24 18:09:45","4.22.24 18:20:31","anonymous",NA,"Deutsch",NA,"Hochschule (Magister) / Master","60 oder lter"," 2"," 3",FALSE,TRUE," 3"," 1"," 2"," 0"," 0",5,5," 2"," 8","9",8,8,"Wenn ich direkt mit einem virtuellen Assistenten kommuniziere.;",10," 3",10,"8"," 8"," 8"," 3","0","10",9,5,9,9,8,9," 3"," 8"," 9","8",5,5,3,"Ungenaue Fragestellung fhrt zu langem hin und her oder Antworten,  die nicht auf mein Problem bezogen sind","deutsch","laggard","unexperienced","unexperienced-laggard",10,59,1,2,2,22,0,1,1,1,1,7,81,1,84.2857142857143,24.4444444444444,100,100,100,100,77.1428571428572
"15","4.22.24 19:13:57","4.22.24 19:23:23","anonymous",NA,"Deutsch",NA,"Hochschule (Diplom) / Bachelor","21 - 29"," 4"," 7",FALSE,TRUE," 6"," 4"," 7"," 6"," 3",10,10," 7"," 2","7",4,8,"Wenn ich mit einem menschlichen Mitarbeiter kommuniziere und dieser mit einem virtuellen Assistenten in Kontakt steht.;Wenn ich direkt mit einem virtuellen Assistenten kommuniziere.;Wenn ich mit einem Menschen kommuniziere und der virtuelle Assistent mitliet oder mithrt, um dem menschlichen Mitarbeiter in Echtzeit Tipps zu geben.;",5," 6",5,"7"," 6"," 8"," 6","3"," 3",3,3,4,8,7,7," 3"," 6"," 6","7",2,2,0,"Noch am ehesten, dass meine Daten in falsche Hnde geraten, sonst hab ich keine Bedenken ","deutsch","majority","rather experienced","rather experienced-majority",7,42,1,3,2,53,1,1,0,1,0,4,44,0,60,58.8888888888889,50,50,50,50,41.9047619047619
"16","4.22.24 19:16:42","4.22.24 19:27:48","anonymous",NA,"Deutsch",NA,"Hochschule (Magister) / Master","30 - 39"," 7"," 9",FALSE,TRUE," 7"," 3"," 6"," 8"," 7",10,10," 0"," 2","7",3,9,"Wenn ich direkt mit einem virtuellen Assistenten kommuniziere.;Wenn ich mit einem Menschen kommuniziere und der virtuelle Assistent mitliet oder mithrt, um dem menschlichen Mitarbeiter in Echtzeit Tipps zu geben.;",10,"10",10,"0"," 8"," 3"," 6","5"," 0",5,3,7,10,8,10," 8"," 8"," 8","8",8,4,2,"","deutsch","early adopter","experienced","experienced-early adopter",5,42,1,10,7,74,1,1,1,1,1,4,66,1,60,82.2222222222222,100,100,100,100,62.8571428571429
"17","4.22.24 19:27:47","4.22.24 19:36:12","anonymous",NA,"Deutsch",NA,"Hochschule (Diplom) / Bachelor","21 - 29"," 8"," 8",FALSE,TRUE," 7"," 4"," 1"," 8"," 5",10,10," 4"," 7","7",2,10,"Wenn ich mit einem menschlichen Mitarbeiter kommuniziere und dieser mit einem virtuellen Assistenten in Kontakt steht.;Wenn ich direkt mit einem virtuellen Assistenten kommuniziere.;Wenn ich mit einem Menschen kommuniziere und der virtuelle Assistent mitliet oder mithrt, um dem menschlichen Mitarbeiter in Echtzeit Tipps zu geben.;",5," 6",5,"3"," 8"," 9"," 7","5"," 2",5,6,9,8,7,3,"10"," 9"," 7","6",5,5,2,"","deutsch","early adopter","experienced","experienced-early adopter",5,41,1,7,1,55,1,1,0,1,0,3,65,1,58.5714285714286,61.1111111111111,50,50,50,50,61.9047619047619
"18","4.22.24 19:39:14","4.22.24 19:46:29","anonymous",NA,"Deutsch",NA,"Gymnasium (Abitur) ","21 - 29"," 9"," 8",FALSE,TRUE," 6"," 5"," 4"," 2"," 1",5,5," 2"," 8","4",5,10,"Wenn ich direkt mit einem virtuellen Assistenten kommuniziere.;Wenn ich mit einem Menschen kommuniziere und der virtuelle Assistent mitliet oder mithrt, um dem menschlichen Mitarbeiter in Echtzeit Tipps zu geben.;",10," 5",10,"6"," 8"," 8"," 7","0"," 1",5,5,7,9,8,6," 0"," 6"," 4","4",7,2,0,"","deutsch","early adopter","experienced","experienced-early adopter",10,51,1,4,2,35,0,1,1,1,1,3,45,0,72.8571428571428,38.8888888888889,100,100,100,100,42.8571428571429
"19","4.22.24 19:41:26","4.22.24 19:56:49","anonymous",NA,"Deutsch",NA,"Hochschule (Magister) / Master","21 - 29"," 7"," 7",FALSE,TRUE," 6"," 0"," 0"," 6"," 4",10,5," 0"," 7","3",4,9,"Wenn ich direkt mit einem virtuellen Assistenten kommuniziere.;",5," 6",5,"3","10"," 4"," 7","3"," 3",7,3,9,8,10,3," 8"," 8"," 9","8",2,3,1,"Kein ausgereiftes Modell, was zu Verzgerungen fhrt. Bisher habe ich im Supportbereich nur sehr eingeschrnkt performante virtuelle Assistenten erlebt, die eher dem Abwimmeln dienen","deutsch","majority","experienced","experienced-majority",7,46,1,7,6,51,1,1,0,1,0,3,59,1,65.7142857142857,56.6666666666667,50,50,50,50,56.1904761904762
"20","4.22.24 19:42:01","4.22.24 19:57:57","anonymous",NA,"Deutsch",NA,"Hochschule (Diplom) / Bachelor","21 - 29"," 7"," 4",FALSE,TRUE," 2"," 2"," 6"," 8"," 6",5,10," 2"," 0","7",3,9,"Wenn ich mit einem Menschen kommuniziere und der virtuelle Assistent mitliet oder mithrt, um dem menschlichen Mitarbeiter in Echtzeit Tipps zu geben.;Wenn ich mit einem menschlichen Mitarbeiter kommuniziere und dieser mit einem virtuellen Assistenten in Kontakt steht.;",5," 8",0,"2"," 7"," 7"," 3","5"," 1",3,3,7,8,8,5," 3"," 5"," 7","8",7,3,2,"Keine. ","deutsch","majority","rather experienced","rather experienced-majority",5,41,1,8,3,57,1,0,0,1,0,7,53,1,58.5714285714286,63.3333333333333,0,0,50,50,50.4761904761905
"21","4.22.24 19:47:53","4.22.24 19:59:32","anonymous",NA,"Deutsch",NA,"Hochschule (Diplom) / Bachelor","21 - 29"," 8","10",FALSE,TRUE," 9"," 7"," 2"," 4"," 2",5,5," 0"," 3","7",8,9,"Wenn ich mit einem Menschen kommuniziere und der virtuelle Assistent mitliet oder mithrt, um dem menschlichen Mitarbeiter in Echtzeit Tipps zu geben.;Wenn ich direkt mit einem virtuellen Assistenten kommuniziere.;",10," 8",10,"8","10","10"," 9","7"," 3",7,8,8,6,5,10," 8","10"," 9","7",4,2,3,"","deutsch","early adopter","experienced","experienced-early adopter",3,55,1,2,0,37,0,1,1,1,1,1,72,1,78.5714285714286,41.1111111111111,100,100,100,100,68.5714285714286
"22","4.22.24 19:51:21","4.22.24 20:04:43","anonymous",NA,"Deutsch",NA,"Hochschule (Magister) / Master","21 - 29"," 6"," 6",FALSE,TRUE," 7"," 5"," 6"," 0"," 0",5,5," 0"," 8","7",3,3,"Wenn ich direkt mit einem virtuellen Assistenten kommuniziere.;Wenn ich mit einem menschlichen Mitarbeiter kommuniziere und dieser mit einem virtuellen Assistenten in Kontakt steht.;Wenn ich mit einem Menschen kommuniziere und der virtuelle Assistent mitliet oder mithrt, um dem menschlichen Mitarbeiter in Echtzeit Tipps zu geben.;",10," 5",10,"5","10"," 8"," 5","5"," 5",4,3,8,10,2,7," 3"," 7"," 8","8",3,3,2,"","deutsch","majority","experienced","experienced-majority",5,43,1,5,2,33,0,1,1,1,1,5,58,1,61.4285714285714,36.6666666666667,100,100,100,100,55.2380952380952
"23","4.22.24 20:19:42","4.22.24 20:31:48","anonymous",NA,"English (United Kingdom)?",NA,"Hochschule (Diplom) / Bachelor","21 - 29"," 7"," 9",TRUE,TRUE," 9"," 9"," 7"," 2"," 2",0,2," 2"," 7","7",3,6,"Wenn ich mit einem menschlichen Mitarbeiter kommuniziere und dieser mit einem virtuellen Assistenten in Kontakt steht.;",10," 3",10,"7"," 6"," 6"," 7","8"," 6",4,5,7,6,3,5," 6"," 6"," 6","7",5,5,2,"","englisch","early adopter","experienced","experienced-early adopter",2,39,1,3,4,30,0,1,1,1,1,3,60,1,55.7142857142857,33.3333333333333,100,100,100,100,57.1428571428571
